Date,Particulars,Amount paid,Total expenses,Mode of payment,Notes,Category
30-12-2025,Rajkot to Ahmedabad - GSRTC Volvo,0,0,Online,,Bus / GSRTC
01-03-2026,Iphone Case,161,0,Online,Paid to Flipkart,Shopping
02-03-2026,Rapido: Home Haven to K P Epitome,41,161,Online,,Rapido
02-03-2026,Rapido: K P Epitome to Home Haven,59,202,Online,,Rapido
03-03-2026,Rapido: Home Haven to K P Epitome,34,261,Online,,Rapido
03-03-2026,Rapido: K P Epitome to Home Haven,59,295,Online,,Rapido
05-03-2026,Rapido: Home Haven to K P Epitome,41,354,Online,,Rapido
05-03-2026,Rapido: K P Epitome to Home Haven,50,395,Online,,Rapido
05-03-2026,Soap + snack bhakrvadi,85,445,Online,Self care ? Hell na,Food
06-03-2026,Rapido: Home Haven to K P Epitome,34,530,Online,,Rapido
06-03-2026,Rapido: K P Epitome to Home Haven,41,564,Online,,Rapido
07-03-2026,Sugar Cane Juice,160,605,Online,,Food
07-03-2026,Bus:Ahmd to Rajkot,208,765,Online,paid to umang,Bus
07-03-2026,Rapido: Home to Marwadi,116,973,Online,,Rapido
07-03-2026,Lunch: 2 dhokla 1 hide n seek,90,1089,Online,,Food
07-03-2026,Farewell,580,1179,Online,,Events
08-03-2026,Recharge 49,49,1759,Online,,Recharge
08-03-2026,Bus Rajkot to Ahmedabad,208,1808,Online,paid to ritesh,Bus
13-03-2026,Flipkart: DualShock Controller,895,2016,Online,,Shopping
09-03-2026,Rapido: Home Haven to K P Epitome,41,2911,Online,,Rapido
09-03-2026,Rapido: K P Epitome to Home Haven,67,2952,Online,,Rapido
09-03-2026,Xerox + glue+ nail cutter,92,3019,Cash,,Shopping
08-03-2026,Sprite + Fanta,80,3111,Online,,Food
10-03-2026,Rapido: Home Haven to K P Epitome,34,3191,Online,,Rapido
10-03-2026,Rapido: K P Epitome to Home Haven,41,3225,Online,,Rapido
10-03-2026,Send to Adii,100,3266,Online,,Transfer
11-03-2026,Rapido: Home Haven to K P Epitome,34,3366,Online,,Rapido
11-03-2026,Rapido: K P Epitome to Home Haven,59,3400,Online,,Rapido
11-03-2026,Ice cream:chocolate 120Ml,70,3459,Online,,
12-03-2026,Rapido: Home Haven to K P Epitome,40,3529,Online,,Rapido
12-03-2026,Rapido: K P Epitome to Home Haven,40,3569,Online,,Rapido
13-03-2026,Rapido: Home Haven to K P Epitome,40,3609,Online,,Rapido
13-03-2026,Rapido: K P Epitome to Home Haven,47,3649,Online,,Rapido
