Date,Particulars,Amount,Category,Mode,Notes
30-12-2025,Rajkot to Ahmedabad - GSRTC Volvo,0,Bus,Online,
01-03-2026,Iphone Case,161,Shopping,Online,Paid to Flipkart
02-03-2026,Rapido: Home Haven to K P Epitome,41,Rapido,Online,
02-03-2026,Rapido: K P Epitome to Home Haven,59,Rapido,Online,
03-03-2026,Rapido: Home Haven to K P Epitome,34,Rapido,Online,
03-03-2026,Rapido: K P Epitome to Home Haven,59,Rapido,Online,
05-03-2026,Rapido: Home Haven to K P Epitome,41,Rapido,Online,
05-03-2026,Rapido: K P Epitome to Home Haven,50,Rapido,Online,
05-03-2026,Soap + snack bhakrvadi,85,Food,Online,Self care ? Hell na
06-03-2026,Rapido: Home Haven to K P Epitome,34,Rapido,Online,
06-03-2026,Rapido: K P Epitome to Home Haven,41,Rapido,Online,
07-03-2026,Sugar Cane Juice,160,Food,Online,
07-03-2026,Bus:Ahmd to Rajkot,208,Bus,Online,paid to umang
07-03-2026,Rapido: Home to Marwadi,116,Rapido,Online,
07-03-2026,Lunch: 2 dhokla 1 hide n seek,90,Food,Online,
07-03-2026,Farewell,580,Events,Online,
08-03-2026,Recharge 49,49,Recharge,Online,
08-03-2026,Bus Rajkot to Ahmedabad,208,Bus,Online,paid to ritesh
24-03-2026,Flipkart: DualShock Controller,895,Shopping,Online,ETA
09-03-2026,Rapido: Home Haven to K P Epitome,41,Rapido,Online,
09-03-2026,Rapido: K P Epitome to Home Haven,67,Rapido,Online,
09-03-2026,Xerox + glue+ nail cutter,92,Shopping,Cash,
08-03-2026,Sprite + Fanta,80,Food,Online,
10-03-2026,Rapido: Home Haven to K P Epitome,34,Rapido,Online,
10-03-2026,Rapido: K P Epitome to Home Haven,41,Rapido,Online,
10-03-2026,Send to Adii,100,Transfer,Online,
11-03-2026,Rapido: Home Haven to K P Epitome,34,Rapido,Online,
11-03-2026,Rapido: K P Epitome to Home Haven,59,Rapido,Online,
11-03-2026,Ice cream:chocolate 120Ml,70,Food,Online,
12-03-2026,Rapido: Home Haven to K P Epitome,40,Rapido,Online,
12-03-2026,Rapido: K P Epitome to Home Haven,40,Rapido,Online,
